ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
6692,https://www.indiatimes.com/news/india/delhi-jaipur-among-most-unsafe-cities-another-attack-on-dalit-teen-more-top-news-524650.html,"Delhi, Jaipur Among Most Unsafe Cities; Another Attack On Dalit Teen + More Top News",,IND,dalit,0,,,
6696,https://www.india.com/news/india/month-after-gangrape-murder-of-dalit-woman-4-year-old-raped-by-cousin-in-hathras-4172799/,"Month After Gangrape & Murder of Dalit Woman, 4-Year-Old Raped by Cousin in Hathras",,IND,dalit,0,,,
6699,https://timesofindia.indiatimes.com/india/sc-why-not-use-census-to-enumerate-dalits-obcs/articleshow/78711305.cms,"SC: Why not use census to enumerate Dalits, OBCs? | India News - Times of India",,IND,dalit,0,,,
6705,https://www.indiatimes.com/news/india/16-year-old-pregnant-dalit-girl-allegedly-murdered-by-father-for-shaming-family-524594.html,16-Year-Old Pregnant Dalit Girl Allegedly Murdered By Father For 'Shaming' Family,,IND,dalit,0,,,
6709,https://timesofindia.indiatimes.com/city/bareilly/sp-district-chief-three-others-booked-for-sexual-assault-on-dalit-woman-in-shahjahanpur/articleshow/78411350.cms,"SP district chief, 3 others booked for sexual assault on Dalit woman in Shahjahanpur",,IND,dalit,0,,,
6711,https://www.news18.com/news/india/set-to-fight-hathras-gang-rape-case-nirbhayas-lawyer-stopped-from-meeting-dalit-victims-family-2927821.html,Nirbhaya Lawyer to Fight Hathras Gang Rape Case But Stopped from Meeting Dalit Victim's Family,,IND,dalit,0,,,
6713,https://theprint.in/politics/who-are-the-paswans-upwardly-mobile-powerful-dalit-group-at-centre-of-bihar-polls-buzz/528964/,"Who are the Paswans? 'Upwardly mobile, powerful' Dalit group at centre of Bihar polls buzzÂ ",,IND,dalit,0,,,
6717,https://www.thenewsminute.com/article/two-years-after-intercaste-marriage-tn-caste-hindus-ostracise-29-dalit-families-134767,"Two years after intercaste marriage, TN caste Hindus ostracise 29 Dalit families",,IND,dalit,0,,,
6731,https://www.opindia.com/2020/10/rajasthan-dalit-salesman-burnt-alive-by-liquor-contractor/,Rajasthan: Dalit salesman burnt alive by liquor contractor,,IND,dalit,1,1,,
6750,https://www.indiatoday.in/cities/story/dalit-minor-girl-gangraped-in-madhya-pradesh-1732244-2020-10-16,"Two men and a minor rape 15-year-old Dalit girl in MP village, circulate videos of assault",,IND,dalit,0,,,
6754,https://zeenews.india.com/telangana/hathras-telangana-man-attempts-rape-on-minor-dalit-girl-sets-her-on-fire-after-she-resists-2315214.html,"Telangana man attempts rape on minor Dalit girl, sets her on fire after she resists",,IND,dalit,0,,,
6758,https://www.indiatoday.in/elections/story/dalit-lives-matter-how-hathras-horror-change-bihar-election-narrative-1727921-2020-10-03,Dalit lives matter? How Hathras horror may change Bihar election narrative,,IND,dalit,1,3,,
6759,https://kannada.news18.com/news/state/new-twist-in-mandya-dalit-girl-missing-case-sesr-rgm-476659.html,New twist in Mandya dalit girl missing case,,none,none,0,,,
6764,http://www.opindia.com/2020/10/revolutionary-memes-for-bahujan-teens-swara-bhaskar-hathras/,"After calling her a 'parasite', Bahujan support group teaches Swara Bhaskar how to support Dalit movement",,IND,dalit,0,,,
6772,https://www.telegraphindia.com/india/another-dalit-rape-victim-in-up-dies/cid/1793559,Another Dalit rape victim in UP dies,,IND,dalit,0,,,
